gene_a,gene_b,r_all,p_all,r_blood,p_blood,fdr_bh_all,fdr_bh_blood
CHP1,PRSS37,0.06181111274404737,0.08672643644930886,0.02260144734532504,0.8884528627081005,0.33436698390094977,0.9836961309002207
CHP1,RAX,-0.05146774174037335,0.15390657169355385,0.011263705208181232,0.9442775349799925,0.4539179994648593,0.9896440849346524
CHP1,OPN5,-0.047406249658638794,0.18911035919002864,-0.014904297236788114,0.9263105014296236,0.4998686012619312,0.9896440849346524
CHP1,RNF17,-0.00022927842628383519,0.9949750695139824,-0.06887448100630417,0.6687369110473681,0.9992688026503707,0.9228437989992013
CHP1,RXFP3,-0.001737774411182563,0.9616272968949411,-0.07891672617894488,0.6238135853833395,0.9894849909947736,0.9110778870934243
CHP1,SLC36A3,-0.034563286214869406,0.33846826731213986,-0.032645057317087355,0.8394321285126658,0.656920973706655,0.9820012904595148
CHP1,TSSK1B,-0.014725270741203365,0.6834923865728834,-0.0246955898227787,0.8781916772936378,0.8713968165039635,0.9836961309002207
BMP15,CPT1A,-0.05349388188834064,0.15130898674687734,0.05760829960257531,0.7275787413464965,0.4493631160928144,0.9446327646187144
C3orf30,CPT1A,0.06448169950008234,0.07392397627805516,-0.12285126888499312,0.4441462011592685,0.30593182719077916,0.8472535580981576
CPT1A,CXorf66,-0.032241614911379675,0.387337158172649,0.026445561668260252,0.8730331324406717,0.6857421334176912,0.9836961309002207
CPT1A,GLRA2,-0.12502620935309217,0.0007667709876807684,-0.1999627323932618,0.22227152932110097,0.013184374121061807,0.6964689290844779
CPT1A,GPX6,-0.0032837221777775195,0.9275621007610769,0.14940102737000877,0.3511835566449174,0.9743779146279676,0.7770353543742339
CPT1A,GSX2,-0.03352959505519346,0.35312093370489683,-0.03095840900658685,0.8476277458957163,0.6699662279816868,0.982233161100306
CPT1A,NDST4,-0.047853362833016354,0.1849671833903323,-0.07071225922475827,0.6604241058863105,0.4932458223742195,0.9228437989992013
CPT1A,PPP3R2,-0.015589791295831022,0.6660022604997039,-0.22720735994309812,0.15311713523017784,0.862805035008043,0.6186869358930577
CPT1A,PRSS37,-0.04656819443193185,0.19705941803207722,0.029713276644391516,0.8536882121047202,0.5059509085448868,0.982233161100306
CPT1A,RAX,0.013003989016617265,0.7188170161781744,0.3586472909019825,0.02129907719683462,0.8877395319383415,0.2620528091075772
CPT1A,OPN5,0.008062104691781332,0.8233728814723773,-0.16596030531946682,0.29972915840855363,0.9397360836639881,0.7380904848202917
CPT1A,RNF17,-0.05494362720094095,0.130956261123217,0.19433543536431525,0.22340637685863599,0.41393041034749856,0.6983154148450648
CPT1A,RXFP3,-0.06614921491862324,0.06674335803759116,-0.03415612536972561,0.8321038316415785,0.29103396708956264,0.9802971969638477
CPT1A,SLC36A3,-0.012479320534026941,0.7297089871494163,-0.17446991952968052,0.27527355153463057,0.8937069537234438,0.7226170801641452
CPT1A,TSSK1B,-0.055097515381010806,0.12686668453095884,0.1571451822558607,0.3264860356594291,0.4081348924867079,0.7543359668665509
BMP15,CPT2,-0.08319747519790276,0.025485033493484677,-0.22959910964449098,0.15970636138927555,0.15608058790268128,0.625687117830311
C3orf30,CPT2,0.08442754630422701,0.019200202245407548,0.3832336286963141,0.013389200399775016,0.12900923293502184,0.21358761184364472
CPT2,CXorf66,0.0742920747108063,0.04613626296204173,0.2907870288914008,0.07250836347052098,0.2357461740176184,0.4560722616327609
CPT2,GLRA2,0.03319831691298043,0.37340071006766967,0.18659894807804778,0.2553623431931492,0.6769394099581033,0.7173984146980145
CPT2,GPX6,-0.017461498535131282,0.6287610923632696,-0.19335615221108698,0.22579350031736622,0.844197561971132,0.6999226797472138
CPT2,GSX2,-0.009512552672261393,0.7922669428187747,0.10342270565801923,0.519914054720246,0.92274948754143,0.8827207198899752
CPT2,NDST4,0.029700812604538315,0.41080922319584023,0.10948669786218485,0.49559977628977986,0.7025194464805284,0.8716418056019327
CPT2,PPP3R2,0.06002210059282853,0.0962612011478819,0.25861287914152764,0.1025471147079217,0.3500407314468433,0.5458440452370841
CPT2,PRSS37,0.028315430068083382,0.43298681335893774,-0.07569384358638398,0.6380949243017777,0.716976870762536,0.9171942763686418
CPT2,RAX,0.029397419640382564,0.41560757677128696,-0.1888944625123023,0.23689057639225627,0.706698234932147,0.7087590642703416
CPT2,OPN5,-0.006274068228796052,0.8620981509595281,-0.07733119787929013,0.6308228760015823,0.9496434020896695,0.9148736017619242
CPT2,RNF17,-0.008574324549673877,0.8138010421763563,0.03956802432885543,0.8059765048907214,0.9338102500992703,0.9691403722499984
CPT2,RXFP3,0.012162696027378213,0.7363086190128906,0.1046549358027835,0.5149258948461799,0.8967412296255947,0.8811566115014844
CPT2,SLC36A3,0.03696290233768363,0.30597930369334986,0.3637629977588635,0.019391630572521825,0.6259123802408199,0.25357361926211297
CPT2,TSSK1B,0.08616417918856586,0.01684997540524737,-0.10825707915796187,0.5004824384478532,0.11982204732620352,0.8721044588406943
BMP15,FABP3,-0.040079617185297844,0.2824821310848435,0.16768988488363265,0.30753907585588947,0.6011257319843719,0.7427358813123368
C3orf30,FABP3,0.0335609652265381,0.35267045112809026,-0.17997702125366097,0.2601651130487447,0.6699662279816868,0.717519684613849
CXorf66,FABP3,0.0632576510912714,0.08963764847048272,-0.12505182577268087,0.448136880475817,0.34043783577913783,0.850868511573481
FABP3,GLRA2,-0.026534816216374532,0.47684437560647464,0.1060337332020081,0.5205802908750089,0.7492770745106698,0.8827207198899752
FABP3,GPX6,-0.027735554452872426,0.44247109456524975,0.08481415887338181,0.5980322092606808,0.7265721629807821,0.9033575848280069
FABP3,GSX2,-0.0379213067368207,0.29359988302588375,-0.18328038674142288,0.2513722946426543,0.6140651148253777,0.7170360864269766
