,NOMO1,MOLM13
LDLR,-0.2531417012375139,-0.4696311254428754
LPCAT3,-0.23121628180778075,-0.5196762789455797
LUC7L3,-1.7870758089476841,-2.047879680949808
MAPK1,0.04943581561839757,0.1898141584458674
MAPK3,0.18312696638349832,-0.19562074249092945
MBTPS1,-0.807642517126349,-0.9544292000300952
MCL1,-0.7909028757241471,-1.1452589844588934
MDH1,0.039673643630900535,0.13099091023167067
MDH2,-0.34900773596941426,-0.4117092715437121
ME1,-0.2707960381339499,-0.2036553064404102
ME2,-0.04432017567539315,-0.0931128623509142
MEP1A,-0.06601409050505617,0.10504926915754564
MLYCD,-0.05334397727675302,-0.021026391847504152
MPC1,0.2998537569786873,0.041969449805456784
MYB,-1.3652636916430871,-1.4126252630835467
MYC,-2.461060386285239,-2.1077359707986183
NCKAP1,-0.1920047050848102,-0.3213556597545804
NCKAP1L,-0.2315116918054505,-0.9797550580039665
NDST4,0.2283756233568473,0.28790236294972943
NDUFA8,-0.09850718814140733,-0.6136825922152507
NDUFS5,-0.38672313421998267,-0.8919835001323615
NELFB,-1.4538761535770397,-1.6261969205807507
NOL6,-0.9721953176347521,-1.3171965735336737
NUP133,-1.331384021121816,-1.4348326949642745
OPN5,0.049904436129121835,0.03623726817695257
PARP1,-0.13892030487839166,-0.06068261370268412
PC,-0.5447415952659027,-0.5737609072624139
PDILT,-0.11806566510247556,0.06263106298874871
PDSS1,-0.1855778845818491,-0.34067175505791064
PDSS2,-0.023634724249851462,-0.17898639087410614
PEX26,-0.3120837129708495,-0.13747104623994896
PEX6,-0.4227771868329231,-0.35559164874721466
PGD,-1.2245586386445186,-1.4341429548582094
PGP,-0.10991655226410944,0.3144250089883723
PHB2,-1.3537498249119977,-1.1316904030860024
PISD,0.034884485397335324,0.09748522330209522
PLA2G2F,-0.15870949446368188,-0.1937221131619717
PLPP1,-0.1808548637697344,0.10519549928465227
PLPP2,-0.472923795578461,-0.11444311278016067
PMVK,-0.8722564764918253,-0.509868498726431
PNPLA5,0.07546204598921506,-0.1274636984263099
POLR1C,-1.7799354755331176,-1.7139357575969432
POLR2B,-1.4135171642791624,-1.8380713079807176
POLR2E,-1.7128725225864565,-1.7920514495249578
POLR3C,-1.1112063555145533,-1.062773122728105
PPARA,0.09269174902972227,0.07043134674092287
PPARD,0.1887674356034944,-0.17102940619524973
PPARG,0.07622729503100857,0.17845936437046886
PPP3R2,0.20451078335897505,0.0338455610362458
PRPF19,-1.4923015532135409,-1.9743377465924403
PRSS37,0.12661489079534086,0.09743829633459457
PSMA7,-1.5989768886552562,-1.6847951162028938
